ValueId,PolyId,AREA,PERIMETER,C_GRDC663#,C_GRDC663-ID,RECORDNAME,SYMBOLFLD,GRDC-ID,GRIDVALUE,RIVERNAME,COUNTRY,GRDC-AREA,STARTMONTH,STARTYEAR,ENDMONTH,ENDYEAR,TIMESERIES,PERCENTRECORD,CELLID,BASINID,BASINNAME,ORDER,NUMBEROFCELLS,STNMAINSTEMLENGT,STNCATCHMENTAREA,STNINTERSTATIONA,NEXTSTATION,INTERSTNA,MEANQ,MINQ,MAXQ,INTERSTNQ,RUNOFF,STNRUNOFF,INTERSTNRO,STNINTERSTNRO,WBMINTERSTNRUNOF,WMINTERSTNPRECIP,CORRECTIONCOEF,WBMRUNOFF,X-COORD,Y-COORD
"11","0",0.000,0.000,"11","11",Kirango aval,Monthly,"1134250","11",Niger,MI,137000.0,"1","1925","12","1992",M,19.2,"12981","10",Niger,"3","45",762.7,136516.7,15050.3,"13",17000.0,1290.4,0.0,7090.0,-116.8,297.0,298.1,-216.7,-244.8,130.78,854.32,1.0,547.58,-6.250,13.750
"12","0",0.000,0.000,"12","12",Douna,Monthly,"1134300","12",Bani,MI,101600.0,"5","1922","12","1994",M,23.6,"12994","10",Niger,"3","34",619.7,102980.7,36214.4,"13",37300.0,512.6,0.0,4090.0,199.5,159.1,157.0,168.7,173.7,155.06,966.88,1.1,370.06,-5.250,13.250
"13","0",0.000,0.000,"13","13",Mopti,Monthly,"1134500","13",Niger,MI,281600.0,"6","1922","12","1990",M,34.8,"12962","10",Niger,"4","102",1003.6,308185.8,68688.4,"14",43000.0,1100.6,5.0,3216.0,-702.4,123.3,112.6,-515.2,-322.5,19.23,549.97,1.0,370.50,-4.250,14.250
"14","0",0.000,0.000,"14","14",Dire,Monthly,"1134700","14",Niger,MI,340000.0,"1","1924","12","1992",M,1.6,"12949","10",Niger,"4","122",1213.6,367900.4,59714.6,"15",58400.0,1003.2,0.0,2638.0,-97.5,93.0,86.0,-52.6,-51.5,31.55,506.25,1.0,315.49,-3.750,15.750
"15","0",0.000,0.000,"15","15",Ansongo,Monthly,"1134900","15",Niger,MI,566000.0,"1","1951","12","1992",M,9.3,"12935","10",Niger,"4","217",1814.0,647527.1,279626.7,"27",226000.0,914.8,5.0,2230.0,-88.4,51.0,44.6,-12.3,-10.0,0.00,185.50,1.0,179.25,0.250,15.750
"16","0",0.000,0.000,"16","16",Kinshasa,Monthly,"1147010","16",Zaire,ZR,3475000.0,"1","1903","12","1983",M,0.0,"3206","3",Zaire,"5","1176",3937.4,3615697.8,2929069.0,"0",2816650.0,39535.6,22351.0,80832.0,33781.6,358.8,344.8,378.2,363.7,474.65,1598.24,0.8,471.66,15.750,-3.750
"17","0",0.000,0.000,"17","17",Vioolsdrif,Monthly,"1159100","17",Oranje,ZA,850530.0,"10","1964","9","1986",M,12.3,"22278","26",Orange,"5","306",1717.2,838167.8,485822.5,"0",814074.0,146.0,0.0,2105.0,-73.6,5.4,5.5,-2.8,-4.8,0.22,284.96,1.0,11.66,17.750,-28.750
"18","0",0.000,0.000,"18","18",Upington,Monthly,"1159300","18",Oranje,ZA,36456.0,"7","1974","9","1986",M,7.1,"22285","26",Orange,"4","130",1300.2,352345.3,180606.4,"17",-141546.0,219.6,54.0,2830.0,-75.9,189.9,19.7,16.9,-13.2,0.00,398.19,1.0,27.45,21.250,-28.250
"19","0",0.000,0.000,"19","19",de Hoop 65,Monthly,"1159500","19",Vaal,ZA,121052.0,"8","1968","9","1986",M,14.0,"22299","26",Orange,"3","45",752.9,123446.5,76705.7,"18",82488.0,32.6,0.0,608.0,-6.2,8.5,8.3,-2.4,-2.5,0.36,652.57,1.0,21.79,24.750,-28.250
"20","0",0.000,0.000,"20","20",Aliwal Noord,Monthly,"1159650","20",Oranje,ZA,37075.0,"10","1964","9","1986",M,6.5,"22338","26",Orange,"2","11",394.9,29399.7,29399.7,"18",37075.0,145.4,1.0,1286.0,145.4,123.7,156.0,123.7,156.0,129.60,765.69,1.2,129.60,26.750,-30.750
"21","0",0.000,0.000,"21","21",Engelbrechtsdrift,Monthly,"1159800","21",Vaal,ZA,38564.0,"10","1964","9","1986",M,5.4,"22328","26",Orange,"3","17",333.1,46740.8,46740.8,"19",38564.0,38.8,0.0,1110.0,38.8,31.7,26.2,31.7,26.2,56.96,781.49,0.5,56.96,28.250,-26.750
"22","0",0.000,0.000,"22","22",Piggot's Bridge,Monthly,"1160510","22",Groot-Vis,ZA,23067.0,"8","1969","9","1986",M,5.1,"44959","397",Great Fish,"2","9",248.3,23671.4,23671.4,"23",23067.0,5.1,0.0,32.0,5.1,7.0,6.8,7.0,6.8,0.00,459.64,1.0,0.00,25.750,-32.750
"23","0",0.000,0.000,"23","23",Outspan,Monthly,"1160580","23",Groot-Vis,ZA,29745.0,"7","1969","9","1986",M,32.9,"44958","397",Great Fish,"2","11",320.9,28885.7,5214.3,"0",6678.0,7.6,0.0,121.0,2.5,8.1,8.3,11.7,15.0,-0.00,572.64,1.0,0.00,26.250,-32.750
"24","0",0.000,0.000,"24","24",Mandini,Monthly,"1160880","24",Tugela,ZA,28920.0,"10","1964","9","1986",M,14.1,"45633","444",GHAASBasin444,"2","11",382.1,29901.0,29901.0,"0",28920.0,100.1,1.0,1117.0,100.1,109.1,105.5,109.1,105.5,104.64,923.80,1.0,104.64,31.250,-29.250
"25","0",0.000,0.000,"25","25",Oxenham Ranch,Monthly,"1196400","25",Limpopo,ZA,98160.0,"10","1964","4","1980",M,17.6,"29151","49",Limpopo,"3","38",594.8,107086.4,107086.4,"69",98160.0,27.1,0.0,414.0,27.1,8.7,8.0,8.7,8.0,3.32,561.87,2.4,3.32,28.250,-22.750
"26","0",0.000,0.000,"26","26",Alcongui,Monthly,"1234080","26",Gorouol,NR,44900.0,"4","1957","9","1989",M,8.1,"13020","10",Niger,"3","19",425.1,56713.0,56713.0,"27",44900.0,8.6,0.0,237.0,8.6,6.1,4.8,6.1,4.8,11.00,489.42,0.4,11.00,0.250,14.750
"27","0",0.000,0.000,"27","27",Niamey,Monthly,"1234150","27",Niger,NR,700000.0,"1","1929","9","1991",M,21.0,"12930","10",Niger,"4","265",2134.1,791120.7,86880.6,"103",89100.0,893.1,2.0,2285.0,-30.3,40.2,35.6,-10.7,-11.0,39.57,559.78,1.0,151.85,1.750,13.750
"28","0",0.000,0.000,"28","28",Diongore amont,Monthly,"1234180","28",Goroubi,NR,15350.0,"8","1962","4","1988",M,26.5,"13101","10",Niger,"2","6",263.8,18101.8,18101.8,"103",15350.0,6.1,0.0,102.0,6.1,12.6,10.7,12.6,10.7,100.94,833.29,0.1,100.94,1.750,13.250
"29","0",0.000,0.000,"29","29",Bagara Diffa,Monthly,"1237500","29",Komadougou Yobe,NR,115000.0,"6","1967","5","1991",M,4.0,"26922","40",Noname (GHAASBasin49),"4","151",1175.0,449160.8,385980.8,"0",60850.0,14.6,0.0,71.0,-541.7,4.0,1.0,-280.8,-44.3,18.49,324.51,1.0,29.63,12.750,13.250
"30","0",0.000,0.000,"30","30",Seaka,Monthly,"1259150","30",Senqu,LS,19875.0,"9","1972","12","1984",M,5.1,"22361","26",Orange,"2","7",269.9,18892.6,18892.6,"18",19875.0,117.4,2.0,729.0,117.4,186.3,196.0,186.3,196.0,167.84,842.07,1.2,167.84,27.250,-29.750
"31","0",0.000,0.000,"31","31",Mtera,Monthly,"1286660","31",Great Ruaha,TN,67950.0,"1","1954","12","1979",M,6.7,"35617","97",Rufiji,"3","24",455.1,73280.2,73280.2,"32",67950.0,123.9,0.0,926.0,123.9,57.5,53.3,57.5,53.3,525.25,1390.22,0.1,525.25,37.250,-8.250
"32","0",0.000,0.000,"32","32",Stigler,Monthly,"1286900","32",Rufiji,TN,158200.0,"11","1954","12","1978",M,32.3,"35613","97",Rufiji,"4","58",644.2,177569.9,88901.0,"0",78850.0,791.8,86.0,5098.0,662.7,157.8,140.6,265.1,235.1,181.90,899.93,1.3,307.83,37.750,-7.750
"33","0",0.000,0.000,"33","33",Bahi,Monthly,"1287800","33",Bubu,TN,11400.0,"1","1960","10","1984",M,1.7,"35631","97",Rufiji,"2","5",189.6,15388.8,15388.8,"32",11400.0,5.2,0.0,63.0,5.2,14.4,10.6,14.4,10.6,0.00,650.81,1.0,0.00,35.250,-5.750
"34","0",0.000,0.000,"34","34",Korogwe,Monthly,"1289200","34",Pangani,TN,25110.0,"5","1959","12","1977",M,1.8,"40774","210",Pangani,"3","21",402.0,64728.1,64728.1,"0",25110.0,26.7,7.0,123.0,26.7,33.6,13.0,33.6,13.0,130.88,901.20,0.1,130.88,38.250,-5.250
"35","0",0.000,0.000,"35","35",Dar-Es-Salam-Morogoro Road Bridge,Monthly,"1289450","35",Ruvu,TN,15190.0,"11","1959","12","1978",M,5.4,"49048","817",GHAASBasin817,"2","5",188.8,15342.7,15342.7,"0",15190.0,64.6,3.0,687.0,64.6,134.2,132.8,134.2,132.8,156.60,1225.57,0.8,156.60,38.750,-6.750
"36","0",0.000,0.000,"36","36",Dar el Caid,Monthly,"1308600","36",Moulouya,MC,24422.0,"2","1957","12","1988",M,1.6,"42061","255",Moulouya,"2","10",302.1,25806.3,25806.3,"0",24422.0,20.0,0.0,327.0,20.0,25.9,24.5,25.9,24.5,0.00,294.12,1.0,0.00,-2.750,34.250
"37","0",0.000,0.000,"37","37",Azib Soltane,Monthly,"1309700","37",Sebou,MC,17250.0,"9","1959","1","1989",M,5.1,"44294","358",Sebou,"2","7",203.1,17961.8,17961.8,"0",17250.0,56.7,5.0,663.0,56.7,103.7,99.6,103.7,99.6,122.81,659.68,0.8,122.81,-5.250,34.250
"38","0",0.000,0.000,"38","38",Riao,Monthly,"1335014","38",Benoue,CM,30650.0,"7","1950","11","1980",M,11.0,"26960","40",Noname (GHAASBasin49),"2","11",320.0,32888.5,32888.5,"29",30650.0,249.1,0.0,2162.0,249.1,256.3,238.9,256.3,238.9,-0.00,374.60,1.0,-0.00,10.250,13.750
"39","0",0.000,0.000,"39","39",Safaie,Monthly,"1335122","39",Faro,CM,23500.0,"4","1953","6","1971",M,19.7,"26963","40",Noname (GHAASBasin49),"2","10",264.4,30291.5,30291.5,"29",23500.0,307.2,1.0,1500.0,307.2,412.3,319.8,412.3,319.8,203.76,1005.04,1.6,203.76,9.250,12.250
"40","0",0.000,0.000,"40","40",Garoua,Monthly,"1335500","40",Benoue,CM,64000.0,"8","1930","12","1980",M,26.3,"13019","10",Niger,"3","20",298.5,61021.3,61021.3,"122",64000.0,362.9,0.0,2900.0,362.9,178.8,187.6,178.8,187.6,314.29,1123.90,0.6,314.29,13.250,9.250
"41","0",0.000,0.000,"41","41",Edea,Monthly,"1338050","41",Sanaga,CM,131520.0,"9","1943","3","1980",M,3.7,"37079","119",Sanaga,"3","42",803.2,129212.4,9252.1,"0",13220.0,1984.7,234.0,6950.0,196.5,475.9,484.4,468.7,669.7,1260.41,2431.18,0.5,795.18,10.250,3.750
"42","0",0.000,0.000,"42","42",Betare-Oya,Monthly,"1338201","42",Lom,CM,11100.0,"4","1951","12","1980",M,2.5,"13155","10",Niger,"1","4",240.8,11991.2,11991.2,"0",11100.0,175.1,14.0,607.0,175.1,497.5,460.6,497.5,460.6,-0.00,566.51,1.0,-0.00,6.250,14.250
"43","0",0.000,0.000,"43","43",Mantoum,Monthly,"1338252","43",Mbam,CM,14700.0,"4","1965","12","1980",M,2.1,"13146","10",Niger,"1","4",266.1,12142.8,12142.8,"0",14700.0,320.6,8.0,1230.0,320.6,687.9,832.7,687.9,832.7,394.41,1173.74,2.1,394.41,5.250,10.250
"44","0",0.000,0.000,"44","44",Goura,Monthly,"1338300","44",Mbam,CM,42300.0,"4","1951","3","1980",M,3.9,"37086","119",Sanaga,"2","14",402.1,43054.3,43054.3,"41",42300.0,710.1,34.0,2570.0,710.1,529.4,520.1,529.4,520.1,930.34,1902.67,0.6,930.34,11.250,4.750
"45","0",0.000,0.000,"45","45",Nachtigal,Monthly,"1338400","45",Sanaga,CM,76000.0,"4","1951","3","1980",M,3.3,"37081","119",Sanaga,"3","25",646.1,76905.9,58477.9,"41",55610.0,1078.1,137.0,3520.0,689.0,447.4,442.1,390.7,371.6,631.61,1673.73,0.6,663.54,11.250,4.250
"46","0",0.000,0.000,"46","46",Mbakaou,Monthly,"1338600","46",Djerem,CM,20390.0,"4","1959","3","1980",M,4.9,"37089","119",Sanaga,"2","6",322.9,18428.1,18428.1,"45",20390.0,389.1,20.0,1600.0,389.1,601.8,665.9,601.8,665.9,764.88,1721.20,0.9,764.88,12.750,5.750
"47","0",0.000,0.000,"47","47",Olama,Monthly,"1339017","47",Nyong,CM,18510.0,"12","1964","3","1977",M,11.9,"13084","10",Niger,"2","7",243.5,21248.2,12137.4,"0",5100.0,226.8,27.0,695.0,196.1,386.5,336.7,1212.5,509.5,368.88,1174.03,1.4,363.55,3.250,11.750
"48","0",0.000,0.000,"48","48",Dehane,Monthly,"1339100","48",Nyong,CM,26400.0,"2","1951","3","1977",M,4.6,"46628","529",Nyong,"2","8",402.1,24685.3,24685.3,"0",26400.0,446.3,40.0,1226.0,446.3,533.1,570.1,533.1,570.1,885.63,2021.57,0.6,885.63,10.250,3.250
"49","0",0.000,0.000,"49","49",Mbalmayo,Monthly,"1339500","49",Nyong,CM,13555.0,"1","1951","12","1979",M,0.0,"3662","3",Zaire,"2","4",189.6,12345.2,12345.2,"61",13555.0,149.4,17.0,539.0,149.4,347.5,381.6,347.5,381.6,640.83,1717.92,0.6,640.83,12.250,3.250
"50","0",0.000,0.000,"50","50",Ngoazik,Monthly,"1340500","50",Ntem,CM,18100.0,"7","1953","12","1979",M,1.9,"46044","475",Ntem,"2","6",189.7,18529.9,18529.9,"0",18100.0,275.5,15.0,957.0,275.5,480.1,469.0,480.1,469.0,578.09,1797.92,0.8,578.09,11.250,2.250
"51","0",0.000,0.000,"51","51",Pana,Monthly,"1348152","51",Kadei,CM,20370.0,"1","1965","12","1980",M,8.9,"13103","10",Niger,"2","6",222.4,17956.3,17956.3,"0",20370.0,246.2,44.0,800.0,246.2,381.2,432.4,381.2,432.4,0.00,534.21,1.0,0.00,4.250,13.750
"52","0",0.000,0.000,"52","52",el Ekhsase,Monthly,"1362100","52",Nile,EG,2900000.0,"1","1973","12","1984",M,0.0,"1921","2",Nile,"5","1254",5686.3,3746811.8,157881.0,"0",-712000.0,1251.3,735.0,1877.0,-1508.5,13.6,10.5,66.8,-301.3,0.00,7.62,1.0,122.75,31.250,29.250
"53","0",0.000,0.000,"53","53",Aswan Dam,Monthly,"1362600","53",Nile,EG,3612000.0,"7","1869","12","1984",M,0.7,"1933","2",Nile,"5","1197",4974.9,3588930.8,894446.8,"52",918000.0,2759.8,393.0,12345.0,137.9,24.1,24.3,4.7,4.9,1.62,100.62,3.0,128.15,32.750,24.250
"54","0",0.000,0.000,"54","54",Bevoay,Monthly,"1389090","54",Mangoky,MG,53225.0,"11","1964","10","1983",M,35.0,"41977","252",Mangoky,"3","19",410.4,54530.4,54530.4,"0",53225.0,596.6,30.0,4980.0,596.6,353.5,345.0,353.5,345.0,273.49,1156.90,1.3,273.49,44.250,-21.750
"55","0",0.000,0.000,"55","55",Amboasary,Monthly,"1389470","55",Mandrare,MG,12435.0,"11","1951","10","1973",M,4.3,"48718","766",Mandrare,"2","6",236.8,16866.1,16866.1,"0",12435.0,60.3,0.0,791.0,60.3,152.9,112.7,152.9,112.7,85.60,936.44,1.3,85.60,46.250,-25.250
"56","0",0.000,0.000,"56","56",Antsatrana,Monthly,"1389500","56",Ikopa,MG,18550.0,"11","1948","10","1982",M,6.7,"41832","245",Ikopa,"2","5",264.4,14652.8,14652.8,"0",18550.0,438.0,0.0,1815.0,438.0,744.6,942.7,744.6,942.7,710.40,1549.60,1.3,710.40,46.750,-17.750
"57","0",0.000,0.000,"57","57",Maroangaty,Monthly,"1389600","57",Mananara,MG,14160.0,"11","1960","10","1978",M,15.8,"49468","883",GHAASBasin883,"1","3",182.4,8541.8,8541.8,"0",14160.0,241.9,11.0,1525.0,241.9,538.8,893.2,538.8,893.2,666.20,1802.81,1.3,666.20,47.250,-22.750
"58","0",0.000,0.000,"58","58",Aniassue,Monthly,"1428400","58",Comoe,IV,67400.0,"1","1980","12","1994",M,4.4,"39954","182",Comoe,"3","23",590.2,70111.6,70111.6,"0",67400.0,106.1,0.2,1020.0,106.1,49.6,47.7,49.6,47.7,266.84,1280.36,0.2,266.84,-3.750,7.250
"59","0",0.000,0.000,"59","59",Sounda,Monthly,"1445100","59",Kouilou,CG,55010.0,"1","1969","12","1982",M,0.6,"41871","247",Kouilou,"3","18",425.2,55541.6,30860.1,"0",31625.0,856.0,201.0,2080.0,476.8,490.7,486.0,475.5,487.3,426.04,1543.57,1.1,481.50,12.250,-3.750
"60","0",0.000,0.000,"60","60",Loudima,Monthly,"1445490","60",Niari,CG,23385.0,"1","1969","12","1983",M,0.0,"41873","247",Kouilou,"2","8",291.2,24681.6,24681.6,"59",23385.0,379.2,107.0,994.0,379.2,511.3,484.5,511.3,484.5,550.84,1654.17,0.9,550.84,13.250,-4.250
"61","0",0.000,0.000,"61","61",Ngbala,Monthly,"1448050","61",Dja,CG,38600.0,"6","1954","11","1978",M,16.7,"3432","3",Zaire,"2","13",522.9,40139.0,27793.7,"62",25045.0,420.0,91.0,1610.0,270.7,343.2,330.0,340.8,307.1,552.99,1746.17,0.6,580.01,14.750,2.250
"62","0",0.000,0.000,"62","62",Ouesso,Monthly,"1448100","62",Sangha,CG,158350.0,"12","1947","12","1983",M,3.6,"3292","3",Zaire,"4","53",647.4,163480.9,55565.8,"16",51450.0,1662.4,380.0,4290.0,497.5,331.1,320.7,304.9,282.3,451.07,1695.72,0.6,467.71,16.250,1.750
"63","0",0.000,0.000,"63","63",Paara,Monthly,"1472150","63",Victoria Nile,UG,340000.0,"1","1948","12","1970",M,0.0,"1993","2",Nile,"4","111",1285.8,342767.2,89634.4,"98",71000.0,946.0,390.0,1927.0,-229.9,87.7,87.0,-102.1,-80.9,294.92,1416.17,1.0,208.27,32.250,1.750
"64","0",0.000,0.000,"64","64",Owen Reservoir,Monthly,"1472300","64",Victoria Nile,UG,269000.0,"1","1973","12","1982",M,0.0,"2005","2",Nile,"4","82",1050.0,253132.9,222253.8,"63",238800.0,1175.9,578.0,1579.0,951.9,137.9,146.5,125.7,135.1,154.38,1043.81,0.9,177.58,33.250,0.250
"65","0",0.000,0.000,"65","65",Kamativi G/w,Monthly,"1491200","65",Gwaai,ZW,38600.0,"10","1955","2","1984",M,5.3,"13780","11",Zambezi,"3","13",340.6,37973.4,20419.0,"0",17600.0,23.3,0.0,575.0,16.0,19.0,19.4,28.7,24.8,9.53,645.59,2.6,6.83,26.750,-18.250
"66","0",0.000,0.000,"66","66",Dahlia Control Section,Monthly,"1491210","66",Gwaai,ZW,21000.0,"10","1966","9","1980",M,14.4,"13844","11",Zambezi,"2","6",311.2,17554.4,17554.4,"65",21000.0,7.3,0.0,181.0,7.3,10.9,13.1,10.9,13.1,3.69,693.94,3.5,3.69,27.250,-18.250
"67","0",0.000,0.000,"67","67",Tokwe Confluence U/s C/s,Monthly,"1495200","67",Lundi,ZW,17100.0,"10","1962","9","1980",M,5.3,"29170","49",Limpopo,"2","6",259.5,17325.0,17325.0,"0",17100.0,48.2,0.0,784.0,48.2,88.9,87.7,88.9,87.7,11.78,611.19,7.4,11.78,30.750,-21.250
"68","0",0.000,0.000,"68","68",Tokwe Confluence D/s C/s,Monthly,"1495240","68",Lundi,ZW,23000.0,"10","1961","9","1980",M,5.0,"38410","145",Save,"2","8",336.0,23237.3,23237.3,"0",23000.0,66.3,0.0,982.0,66.3,90.9,89.9,90.9,89.9,9.36,677.11,9.6,9.36,31.250,-21.250
"69","0",0.000,0.000,"69","69",Beitbridge Pumpstation C/s,Monthly,"1496500","69",Limpopo,ZW,196000.0,"10","1959","9","1980",M,7.2,"29148","49",Limpopo,"3","73",749.2,207296.1,100209.7,"0",97840.0,86.5,0.0,3920.0,59.3,13.9,13.2,19.1,18.7,3.57,564.98,5.2,3.44,29.750,-22.250
"70","0",0.000,0.000,"70","70",Daboasi,Monthly,"1526300","70",Pra,GH,22714.0,"1","1965","12","1978",M,0.0,"46677","535",Pra,"2","8",245.2,24588.2,24588.2,"0",22714.0,196.9,5.0,1401.0,196.9,273.3,252.5,273.3,252.5,453.10,1679.74,0.6,453.10,-1.750,5.250
"71","0",0.000,0.000,"71","71",Alanda,Monthly,"1530100","71",Tano,GH,15800.0,"1","1965","7","1978",M,3.6,"49021","813",GHAASBasin813,"1","5",300.8,15363.4,15363.4,"0",15800.0,143.8,5.0,462.0,143.8,287.0,295.2,287.0,295.2,496.61,1725.12,0.6,496.61,-2.750,5.250
"72","0",0.000,0.000,"72","72",Bamboi,Monthly,"1531100","72",Black Volta,GH,134200.0,"3","1950","2","1974",M,4.0,"29723","53",Volta,"3","46",843.5,139547.7,64049.7,"77",67660.0,262.5,2.0,2320.0,161.6,61.7,59.3,75.3,79.5,259.66,1244.85,0.3,204.29,-1.750,8.750
"73","0",0.000,0.000,"73","73",Yagaba,Monthly,"1531420","73",Kulpawn,GH,10600.0,"3","1958","2","1974",M,9.3,"29755","53",Volta,"2","4",211.7,12172.2,12172.2,"74",10600.0,34.9,0.0,471.0,34.9,103.9,90.5,103.9,90.5,248.38,1170.18,0.4,248.38,-1.750,9.750
"74","0",0.000,0.000,"74","74",Nawuni,Monthly,"1531450","74",White Volta,GH,92950.0,"5","1953","2","1974",M,5.3,"29730","53",Volta,"3","34",632.6,102902.0,24290.2,"77",19000.0,249.1,1.0,1900.0,89.0,84.5,76.3,147.7,115.6,205.96,1068.91,0.6,173.77,-1.250,10.250
"75","0",0.000,0.000,"75","75",Pwalagu,Monthly,"1531550","75",White Volta,GH,63350.0,"5","1951","2","1974",M,4.9,"29738","53",Volta,"2","22",554.6,66439.6,9105.9,"74",18660.0,125.2,0.0,1380.0,69.0,62.3,59.4,116.6,239.0,291.14,1074.03,0.8,148.33,-0.750,10.750
"76","0",0.000,0.000,"76","76",Nangodi,Monthly,"1531650","76",Red Volta,GH,11570.0,"3","1958","2","1974",M,5.9,"29758","53",Volta,"1","4",265.7,12111.2,12111.2,"75",11570.0,23.1,0.0,301.0,23.1,62.8,60.0,62.8,60.0,169.55,984.71,0.4,169.55,-0.750,11.250
"77","0",0.000,0.000,"77","77",Senchi(Halcrow),Monthly,"1531700","77",Volta,GH,394100.0,"3","1936","12","1979",M,4.0,"29717","53",Volta,"4","130",1245.0,394995.3,94847.7,"0",108280.0,1105.6,9.0,12490.0,240.0,88.5,88.3,69.9,79.8,322.58,1424.26,0.2,242.22,0.250,6.250
"78","0",0.000,0.000,"78","78",Sabari,Monthly,"1531800","78",Oti,GH,58670.0,"6","1959","2","1974",M,7.8,"29740","53",Volta,"2","19",378.3,57697.8,27395.8,"77",36390.0,354.0,0.0,3040.0,297.7,190.3,193.5,258.0,342.7,373.66,1277.06,0.9,323.95,0.250,9.250
"79","0",0.000,0.000,"79","79",Ndjamena(Fort Lamy),Monthly,"1537100","79",Chari,CD,600000.0,"5","1933","6","1991",M,12.9,"17390","16",Chari,"4","198",1376.9,603274.7,84974.4,"0",76300.0,1059.4,8.0,4846.0,-244.3,55.7,55.4,-101.0,-90.6,176.78,859.02,1.0,254.90,14.750,12.250
"80","0",0.000,0.000,"80","80",Bongor,Monthly,"1537150","80",Logone,CD,73700.0,"7","1948","3","1986",M,28.4,"17452","16",Chari,"3","25",511.1,76533.0,27500.8,"79",25430.0,491.7,16.0,2420.0,-2.4,210.4,202.6,-3.0,-2.8,362.94,1187.69,1.0,462.95,16.250,9.250
